OS: macOS 11.0 Beta (20A5395g)

	PS. 測了不知道多少次，只成功過 3,4次

Timestamp                       Thread     Type        Activity             PID    TTL  
2020-10-19 17:54:38.980467+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] ----------------------- 1 ----------------------
2020-10-19 17:54:38.980471+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] setReport (Output)
2020-10-19 17:54:38.980480+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] frameReceived Report = 0x60000242cdd8
2020-10-19 17:54:38.980510+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA flags = 2
2020-10-19 17:54:38.980513+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA SegmentCount = 1
2020-10-19 17:54:38.980515+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA segments.address = 7544668
2020-10-19 17:54:38.980517+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA segments.length = 64
2020-10-19 17:54:38.980525+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->GetPreparation ret = 0
2020-10-19 17:54:38.980550+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] outMemMap CreateMapping address = 4314287964
2020-10-19 17:54:38.980553+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] outMemMap CreateMapping length = 64
2020-10-19 17:54:38.980562+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 01 00 00 00 90 00 01 04 00 00 00 00 00 00 00 00
2020-10-19 17:54:38.980567+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2020-10-19 17:54:38.980572+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2020-10-19 17:54:38.980577+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
2020-10-19 17:54:38.980590+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->CompleteDMA ret = 0
2020-10-19 17:54:38.980597+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] AsyncCompletion DataCount = 8
2020-10-19 17:54:38.980616+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device]    IOSleep 1 ms
2020-10-19 17:54:38.981793+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device]    CompleteReport
2020-10-19 17:54:38.985315+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] -------------<ExternalMethod>-------------
2020-10-19 17:54:38.985325+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] <<<<<<< SendFrame >>>>>>>
2020-10-19 17:54:38.985333+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 01 00 00 00 90 00 37 00 a4 01 81 68 46 49 44 4f
2020-10-19 17:54:38.985338+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 5f 32 5f 30 02 81 6b 68 6d 61 63 2d 73 65 63 72
2020-10-19 17:54:38.985343+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 65 74 03 50 21 2f c1 95 48 e9 2b 72 3f f5 57 1a
2020-10-19 17:54:38.985348+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] 77 a5 c7 f1 04 a2 62 72 6b f5 62 75 76 f5 00 00
2020-10-19 17:54:38.985430+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] sendReport Length = 64
2020-10-19 17:54:38.985464+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] sendReport > fido2Device->handleReport ✅
2020-10-19 17:54:38.985789+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] ----------------------- 2 ----------------------
2020-10-19 17:54:38.985792+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][Device] setReport (Output)
2020-10-19 17:54:38.985817+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] frameReceived Report = 0x600002424958
2020-10-19 17:54:38.985834+0800 0x4689     Default     0x0                  0      0    kernel: (com.gotrustid.SoftFIDO2.dext) [SoftFido2][UserClient] dmaCmd->PrepareForDMA flags = 2
